number,总价,单价,行政区,小区,建筑面积,建成时间,建筑类型,朝向,户型2,楼层,所在楼层,总楼层,装修,梯户比,电梯,产权年限,更新时间,房屋用途,房屋年限,地铁
382,450,29412,番禺,南国奥林匹克花园北奥二路,153,2006,板楼,南,5室2厅1厨2卫,高楼层/共6层,高楼层,共6层,简装,一梯两户,无,70年,2018-01-21,普通住宅,满五年,地铁
383,578,41583,天河,富丽花苑,139,2000,塔楼,南,5室2厅1厨2卫,中楼层/共8层,中楼层,共8层,简装,一梯四户,无,70年,2017-06-02,普通住宅,满五年,地铁
384,950,32904,荔湾,荔港南湾,288.72,2008,塔楼,北,6室3厅1厨3卫,高楼层/共32层,高楼层,共32层,其他,两梯六户,有,70年,2017-09-16,普通住宅,满五年,地铁
385,580,62921,天河,华景新城陶然庭园,92.18,2007,塔楼,南,3室2厅1厨1卫,低楼层/共35层,低楼层,共35层,其他,三梯八户,有,70年,2018-01-03,普通住宅,满五年,
386,760,62408,天河,珠江俊园,121.78,2007,塔楼,东北,3室2厅1厨2卫,高楼层/共28层,高楼层,共28层,精装,三梯六户,有,70年,2017-06-12,普通住宅,满五年,
387,690,57167,海珠,丽海雅居,120.7,2010,塔楼,南 北,3室2厅1厨2卫,低楼层/共28层,低楼层,共28层,其他,两梯十户,有,70年,2017-06-30,普通住宅,满五年,
388,180,22671,番禺,江南新村,79.4,1998,塔楼,南,3室1厅1厨1卫,中楼层/共7层,中楼层,共7层,其他,一梯四户,无,70年,2018-03-03,普通住宅,满五年,地铁
389,980,76152,天河,中怡城市花园,128.69,2004,塔楼,南,3室2厅1厨2卫,中楼层/共32层,中楼层,共32层,简装,三梯八户,有,70年,2018-01-05,普通住宅,满五年,地铁
390,235,25237,增城,碧桂园凤凰城凤馨苑,93.12,2002,塔楼,北,3室2厅1厨2卫,中楼层/共18层,中楼层,共18层,精装,两梯四户,有,70年,2017-09-06,普通住宅,满五年,
391,310,36905,白云,富力阳光美居,84,2001,塔楼,南,3室1厅1厨1卫,低楼层/共15层,低楼层,共15层,简装,两梯八户,有,70年,2017-12-06,普通住宅,满五年,
392,530,45690,白云,岭南新世界,116,2008,塔楼,东南,3室2厅1厨2卫,高楼层/共15层,高楼层,共15层,精装,两梯五户,有,70年,2018-03-11,普通住宅,满两年,
393,530,58287,天河,华景新城信华花园,90.93,2012,塔楼,东北,3室2厅1厨1卫,低楼层/共28层,低楼层,共28层,其他,三梯八户,有,70年,2018-02-27,普通住宅,满五年,
394,550,49555,白云,岭南新世界,110.99,2003,塔楼,南,3室2厅1厨2卫,低楼层/共16层,低楼层,共16层,简装,两梯四户,有,70年,2018-01-04,普通住宅,满五年,地铁
395,440,36655,荔湾,怡芳苑,120.04,1998,塔楼,东南,2室2厅1厨1卫,中楼层/共9层,中楼层,共9层,其他,一梯八户,有,70年,2018-01-31,普通住宅,满五年,地铁
396,350,36843,番禺,广州雅居乐花园雅悦庭,95,2010,塔楼,东南,3室2厅1厨2卫,高楼层/共11层,高楼层,共11层,精装,一梯三户,有,70年,2018-02-26,普通住宅,满五年,
397,290,37978,天河,农工商学院,76.36,1996,塔楼,南 北,2室2厅1厨1卫,高楼层/共8层,高楼层,共8层,其他,一梯两户,无,70年,2018-03-04,普通住宅,满五年,
398,352,45169,海珠,金碧花园第三金碧,77.93,2000,塔楼,北,2室2厅1厨1卫,中楼层/共32层,中楼层,共32层,其他,两梯七户,有,70年,2018-01-03,普通住宅,满五年,
399,420,38943,黄埔,金碧领秀国际,107.85,2007,塔楼,北,3室2厅1厨2卫,高楼层/共33层,高楼层,共33层,简装,两梯八户,有,70年,2017-11-14,普通住宅,满五年,
400,340,37179,黄埔,万科城市花园,91.45,2003,塔楼,南 北,3室2厅1厨1卫,中楼层/共18层,中楼层,共18层,其他,两梯五户,有,70年,2018-01-17,普通住宅,满两年,地铁
401,550,60787,天河,华景新城信华花园,90.48,2012,塔楼,西北,3室2厅1厨1卫,中楼层/共30层,中楼层,共30层,其他,三梯八户,有,70年,2018-01-02,普通住宅,满五年,
402,410,39806,荔湾,名汇商业大厦,103,2002,塔楼,南 北,3室2厅1厨1卫,高楼层/共32层,高楼层,共32层,简装,三梯九户,有,70年,2017-08-10,普通住宅,满五年,地铁
403,425,37588,白云,白云高尔夫花园东区,113.07,2002,塔楼,东北,3室2厅1厨2卫,低楼层/共14层,低楼层,共14层,精装,两梯八户,有,70年,2018-03-28,普通住宅,满五年,
404,390,35136,白云,富力桃园,111,2004,塔楼,东北,3室2厅1厨2卫,低楼层/共30层,低楼层,共30层,其他,三梯六户,有,70年,2018-03-23,普通住宅,满五年,
405,248,27104,增城,碧桂园凤凰城凤仪苑,91.5,2002,塔楼,西南,3室2厅1厨2卫,低楼层/共6层,低楼层,共6层,精装,一梯四户,无,70年,2018-03-25,普通住宅,满五年,
406,855,62409,天河,富力院士庭,137,2007,塔楼,南,4室2厅1厨2卫,低楼层/共18层,低楼层,共18层,精装,两梯四户,有,70年,2018-03-27,普通住宅,满五年,
407,465,37805,白云,富力桃园,123,2004,塔楼,北,3室2厅1厨2卫,中楼层/共29层,中楼层,共29层,其他,三梯五户,有,70年,2018-03-21,普通住宅,满五年,
408,545,49845,海珠,祈乐苑,109.34,1999,塔楼,西南,3室2厅1厨2卫,低楼层/共12层,低楼层,共12层,其他,一梯六户,有,70年,2018-03-24,普通住宅,满五年,地铁
409,508,30221,番禺,南国奥林匹克花园卡萨布兰卡,168.1,2006,板楼,北,4室3厅1厨3卫,高楼层/共5层,高楼层,共5层,其他,一梯两户,无,70年,2018-03-17,普通住宅,满五年,地铁
410,360,30509,番禺,南国奥林匹克花园北奥一路,118,2006,板楼,南 北,3室2厅1厨2卫,高楼层/共6层,高楼层,共6层,精装,一梯两户,无,70年,2018-03-15,普通住宅,满五年,地铁
411,365,30673,番禺,祈福新村晓峰园,119,2005,塔楼,北,3室2厅1厨1卫,中楼层/共35层,中楼层,共35层,简装,三梯八户,有,70年,2018-03-21,普通住宅,满五年,
412,165,18836,白云,文化局宿舍,87.6,1999,塔楼,东,3室2厅1厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯八户,暂无数据,70年,2018-01-19,普通住宅,满五年,
413,260,24929,番禺,东发大厦,104.3,1995,塔楼,东北,3室2厅1厨2卫,低楼层/共33层,低楼层,共33层,其他,一梯八户,暂无数据,70年,2017-08-23,普通住宅,满五年,
414,490,39200,荔湾,荔湖明苑,125,1999,塔楼,东,3室2厅1厨2卫,低楼层/共23层,低楼层,共23层,其他,两梯八户,有,70年,2018-02-25,普通住宅,满五年,地铁
415,400,46399,天河,时尚明苑,86.21,2006,塔楼,北,3室2厅1厨1卫,高楼层/共11层,高楼层,共11层,精装,两梯七户,有,70年,2017-09-21,普通住宅,满五年,地铁
416,320,29907,番禺,华南碧桂园芳翠苑,107,2001,塔楼,北,3室2厅1厨2卫,中楼层/共7层,中楼层,共7层,简装,一梯四户,无,70年,2017-09-19,普通住宅,满五年,
417,310,35224,白云,金碧新城,88.01,2004,塔楼,西南,3室1厅1厨1卫,中楼层/共11层,中楼层,共11层,其他,一梯四户,有,70年,2017-09-26,普通住宅,满五年,
418,310,36085,白云,富力桃园,85.91,2004,塔楼,东北,2室2厅1厨1卫,高楼层/共30层,高楼层,共30层,其他,三梯八户,有,70年,2017-08-16,普通住宅,满五年,
419,530,48029,荔湾,荔京阁,110.35,2002,塔楼,西南,3室2厅1厨2卫,高楼层/共20层,高楼层,共20层,精装,两梯八户,有,70年,2017-09-06,普通住宅,满五年,地铁
420,588,60000,天河,新世界东逸花园,98,1999,塔楼,北,3室2厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯四户,无,70年,2017-04-14,普通住宅,满五年,
421,1300,62201,海珠,珠江广场水岸卫城,209,2000,塔楼,西北,4室2厅1厨2卫,高楼层/共31层,高楼层,共31层,其他,三梯四户,有,70年,2017-07-24,普通住宅,满五年,地铁
422,190,32720,海珠,保利红棉花园,58.07,1997,塔楼,南,2室1厅1厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯六户,无,70年,2018-03-20,普通住宅,满五年,地铁
423,275,32739,黄埔,泰景花园文雅阁,84,2004,塔楼,东南,2室2厅1厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯八户,有,70年,2017-12-23,普通住宅,满五年,地铁
424,238,24692,增城,碧桂园凤凰城凤馨苑,96.39,2002,塔楼,北,3室2厅1厨1卫,低楼层/共11层,低楼层,共11层,其他,一梯四户,有,70年,2018-02-02,普通住宅,满两年,
425,325,32491,白云,富力桃园,100.03,2004,塔楼,西南,3室2厅1厨2卫,低楼层/共16层,低楼层,共16层,精装,两梯八户,有,70年,2017-07-17,普通住宅,满两年,
426,575,49775,海珠,海富花园,115.52,2006,塔楼,东南,3室2厅1厨2卫,低楼层/共10层,低楼层,共10层,其他,一梯八户,有,70年,2018-02-27,普通住宅,满五年,地铁
427,252,27097,增城,碧桂园凤凰城凤馨苑,93,2002,塔楼,北,3室2厅1厨2卫,高楼层/共18层,高楼层,共18层,其他,两梯四户,有,70年,2018-04-05,普通住宅,满五年,
428,400,47355,天河,翠湖山庄,84.47,1999,塔楼,东南,2室1厅1厨1卫,中楼层/共17层,中楼层,共17层,简装,三梯八户,有,70年,2018-04-06,普通住宅,满五年,
429,380,38776,番禺,广州雅居乐花园一尺山居,98,2010,塔楼,西南,3室2厅1厨1卫,低楼层/共23层,低楼层,共23层,精装,两梯六户,有,70年,2018-04-07,普通住宅,满五年,
430,350,50000,越秀,解放北路象岗山,70,,塔楼,东,2室1厅1厨1卫,高楼层/共13层,高楼层,共13层,其他,一梯三户,暂无数据,70年,2018-04-06,普通住宅,满五年,
431,335,28880,番禺,番禺海伦堡花样年华二期,116,2005,塔楼,北,3室2厅1厨2卫,中楼层/共17层,中楼层,共17层,精装,一梯八户,有,70年,2017-11-12,普通住宅,满五年,
432,338,43897,海珠,南景园,77,2001,塔楼,北,2室2厅1厨1卫,高楼层/共18层,高楼层,共18层,其他,两梯六户,有,70年,2018-01-12,普通住宅,满五年,地铁
433,355,38900,海珠,顺景雅苑,91.26,2005,塔楼,北,2室2厅1厨1卫,低楼层/共15层,低楼层,共15层,简装,一梯四户,有,70年,2017-05-12,普通住宅,满五年,地铁
434,255,37761,越秀,下塘西路宝汉直街,67.53,1991,塔楼,北,2室1厅1厨1卫,中楼层/共9层,中楼层,共9层,其他,一梯四户,无,70年,2017-08-17,普通住宅,满五年,地铁
435,318,37930,白云,金碧雅苑,83.84,2004,塔楼,西,3室1厅1厨2卫,高楼层/共17层,高楼层,共17层,精装,两梯六户,有,70年,2017-12-31,普通住宅,满五年,地铁
436,295,50009,海珠,珠江新岸公寓,58.99,2009,塔楼,西,1室1厅1厨1卫,中楼层/共32层,中楼层,共32层,精装,五梯二十七户,有,70年,2017-07-08,普通住宅,满五年,
437,262,36491,天河,金燕花园,71.8,1995,塔楼,南,2室2厅1厨1卫,中楼层/共9层,中楼层,共9层,其他,一梯四户,无,70年,2017-09-17,普通住宅,满五年,地铁
438,280,33334,白云,汇侨新城蓝天丽境,84,2000,塔楼,西南,2室1厅1厨1卫,高楼层/共18层,高楼层,共18层,简装,两梯八户,有,70年,2017-11-07,普通住宅,满五年,
439,518,43530,海珠,南景园,119,2001,塔楼,东南,3室2厅1厨2卫,高楼层/共18层,高楼层,共18层,精装,两梯八户,有,70年,2017-09-11,普通住宅,满五年,地铁
440,305,37507,天河,黄埔大道中锦明街,81.32,1990,塔楼,北,3室1厅1厨1卫,高楼层/共9层,高楼层,共9层,简装,一梯四户,无,70年,2017-08-19,普通住宅,满五年,地铁
441,470,46356,海珠,保利百合花园雅园,101.39,2004,塔楼,西北,3室2厅1厨2卫,低楼层/共11层,低楼层,共11层,精装,一梯五户,有,70年,2017-05-19,普通住宅,满五年,地铁
442,310,46842,越秀,五羊小区,66.18,,塔楼,南 北,2室1厅1厨1卫,高楼层/共8层,高楼层,共8层,其他,一梯六户,暂无数据,70年,2018-01-24,普通住宅,满五年,地铁
443,720,53137,天河,骏景花园,135.5,2000,塔楼,南,4室2厅1厨2卫,中楼层/共12层,中楼层,共12层,其他,一梯四户,有,70年,2017-07-28,普通住宅,满五年,地铁
444,250,35915,海珠,晓港湾惠侨苑,69.61,1999,塔楼,北,2室2厅1厨1卫,高楼层/共23层,高楼层,共23层,其他,两梯八户,有,70年,2017-07-28,普通住宅,满五年,地铁
445,210,22521,增城,碧桂园凤凰城凤馨苑,93.25,2002,塔楼,北,3室2厅1厨2卫,低楼层/共18层,低楼层,共18层,精装,两梯四户,有,70年,2018-03-04,普通住宅,满五年,
446,280,35000,番禺,华南碧桂园漾翠苑,80,2001,塔楼,西南,2室2厅1厨1卫,中楼层/共7层,中楼层,共7层,精装,一梯四户,无,70年,2017-09-12,普通住宅,满五年,
447,550,49842,荔湾,荔京阁,110.35,2002,塔楼,西南,3室2厅1厨2卫,高楼层/共20层,高楼层,共20层,简装,两梯八户,有,70年,2017-09-12,普通住宅,满五年,地铁
448,1500,72816,越秀,嘉骏苑,206,2001,塔楼,西南,5室2厅0厨4卫,高楼层/共32层,高楼层,共32层,精装,三梯十户,有,70年,2012-11-01,普通住宅,满五年,地铁
449,1168,66496,天河,天誉华庭,175.65,2004,塔楼,南 北,4室2厅1厨2卫,中楼层/共28层,中楼层,共28层,简装,三梯六户,有,70年,2017-04-27,普通住宅,满五年,地铁
450,600,52981,天河,赛拉维,113.25,2002,塔楼,东 西,3室2厅1厨2卫,高楼层/共19层,高楼层,共19层,其他,两梯八户,有,70年,2017-01-19,普通住宅,满五年,
451,318,30000,白云,春晖闲庭,106,2004,塔楼,东北,3室2厅1厨2卫,高楼层/共7层,高楼层,共7层,其他,一梯三户,有,70年,2017-09-18,普通住宅,满五年,地铁
452,460,49198,海珠,荟贤大厦,93.5,1999,塔楼,西南,3室2厅1厨2卫,中楼层/共31层,中楼层,共31层,简装,三梯八户,有,70年,2017-09-12,普通住宅,满五年,
453,453.6,30001,番禺,芳华花园洛湖居,151.2,1999,塔楼,北,5室2厅1厨2卫,高楼层/共7层,高楼层,共7层,简装,一梯四户,无,70年,2017-02-15,普通住宅,满五年,地铁
454,650,68422,天河,金田花苑,95,1995,塔楼,东北,3室2厅1厨2卫,高楼层/共10层,高楼层,共10层,简装,一梯六户,无,70年,2016-01-28,普通住宅,满五年,
455,540,60880,天河,骏汇大厦,88.7,1997,塔楼,西北,2室2厅1厨1卫,高楼层/共26层,高楼层,共26层,精装,三梯十六户,有,70年,2018-01-02,普通住宅,满五年,地铁
456,220,29334,番禺,祈福新村青怡居,75,1995,板楼,南,3室2厅1厨1卫,高楼层/共5层,高楼层,共5层,其他,一梯四户,无,70年,2017-12-28,普通住宅,满五年,
457,258,29758,白云,倚绿山庄,86.7,2000,塔楼,南,2室2厅1厨1卫,中楼层/共7层,中楼层,共7层,其他,一梯四户,无,70年,2017-12-26,普通住宅,满五年,地铁
458,225,34420,荔湾,珠岛花园,65.37,1995,塔楼,北,2室1厅1厨1卫,中楼层/共12层,中楼层,共12层,其他,一梯六户,有,70年,2017-09-09,普通住宅,满五年,
459,480,56003,海珠,中海名都,85.71,2003,塔楼,北,2室1厅1厨1卫,低楼层/共37层,低楼层,共37层,其他,三梯七户,有,70年,2017-09-21,普通住宅,满五年,地铁
460,398,67458,天河,银汇华庭银汇大厦,59,2009,塔楼,北,2室1厅1厨1卫,高楼层/共32层,高楼层,共32层,其他,三梯十二户,有,70年,2017-08-10,普通住宅,满五年,地铁
461,328,26240,番禺,番禺华景新城,125,1999,塔楼,北,3室2厅1厨2卫,高楼层/共12层,高楼层,共12层,精装,一梯四户,有,70年,2016-07-09,普通住宅,满五年,
462,460,56805,天河,东璟花园,80.98,2004,塔楼,北,2室1厅1厨1卫,中楼层/共25层,中楼层,共25层,精装,两梯六户,有,70年,2016-09-13,普通住宅,满五年,地铁
463,380,51352,荔湾,恒荔湾畔,74,2008,塔楼,西北,2室1厅1厨1卫,低楼层/共31层,低楼层,共31层,简装,三梯八户,有,70年,2018-02-27,普通住宅,满五年,地铁
464,538,34710,番禺,华南碧桂园翡翠苑,155,2001,板楼,西,5室2厅1厨3卫,中楼层/共6层,中楼层,共6层,精装,一梯四户,无,70年,2017-05-22,普通住宅,满五年,
465,248,30087,天河,兴禺大厦,82.43,2002,塔楼,北,2室2厅1厨1卫,低楼层/共33层,低楼层,共33层,简装,三梯六户,有,70年,2017-07-01,普通住宅,满五年,地铁
466,240,41480,海珠,晓燕湾,57.86,1999,塔楼,南,2室1厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯二十一户,无,70年,2018-04-04,普通住宅,满五年,地铁
467,355,33178,番禺,丽江花园左岸,107,2003,塔楼,西北,2室2厅1厨2卫,中楼层/共16层,中楼层,共16层,其他,两梯四户,有,70年,2017-08-19,普通住宅,满五年,
468,369,50307,海珠,海逸花园,73.35,2002,塔楼,东北,3室1厅1厨1卫,中楼层/共31层,中楼层,共31层,其他,三梯十户,有,70年,2018-02-12,普通住宅,满五年,地铁
469,380,51708,越秀,华荫阁,73.49,,塔楼,西南,2室2厅1厨1卫,高楼层/共9层,高楼层,共9层,精装,一梯四户,有,70年,2018-04-03,普通住宅,满五年,地铁
470,880,49822,海珠,朗晴居二期,176.63,2000,塔楼,东北,5室2厅1厨2卫,低楼层/共33层,低楼层,共33层,精装,三梯四户,有,70年,2017-06-09,普通住宅,满五年,地铁
471,400,58998,天河,德荣小区,67.8,1995,塔楼,东南,2室1厅1厨1卫,高楼层/共8层,高楼层,共8层,其他,一梯四户,无,70年,2017-03-12,普通住宅,满五年,地铁
472,608,62681,天河,华景新城芳满庭园,97,2005,塔楼,南,3室2厅1厨1卫,中楼层/共36层,中楼层,共36层,简装,三梯八户,有,70年,2018-03-16,普通住宅,满五年,
473,450,54087,海珠,佳信花园,83.2,2004,塔楼,北,2室1厅1厨1卫,高楼层/共11层,高楼层,共11层,简装,一梯六户,有,70年,2017-10-14,普通住宅,满五年,地铁
474,218,22948,增城,广州海伦堡,95,2009,塔楼,东南,3室2厅1厨2卫,高楼层/共18层,高楼层,共18层,精装,两梯六户,有,70年,2018-02-28,普通住宅,满五年,
475,260,38292,白云,金碧雅苑,67.9,2004,塔楼,东南,2室1厅1厨1卫,高楼层/共18层,高楼层,共18层,简装,两梯六户,有,70年,2017-11-01,普通住宅,满五年,地铁
476,850,61152,天河,天誉花园,139,1998,塔楼,北,3室2厅1厨2卫,高楼层/共31层,高楼层,共31层,简装,两梯四户,有,70年,2018-02-27,普通住宅,满两年,地铁
477,260,14770,增城,新康花园康雅苑,176.04,,塔楼,南 北,5室2厅1厨3卫,高楼层/共6层,高楼层,共6层,精装,一梯六户,无,70年,2017-11-01,普通住宅,满五年,
478,185,29366,白云,金德西苑,63,,塔楼,南 北,2室1厅1厨1卫,高楼层/共9层,高楼层,共9层,简装,一梯六户,无,70年,2018-04-06,普通住宅,满五年,
479,395,51386,海珠,富力朗逸轩,76.87,2005,塔楼,南,2室1厅1厨1卫,低楼层/共32层,低楼层,共32层,精装,一梯十户,暂无数据,70年,2018-04-01,普通住宅,满五年,地铁
480,390,43464,白云,白云高尔夫花园荷塘月色,89.73,2004,塔楼,东北,3室1厅1厨1卫,低楼层/共24层,低楼层,共24层,其他,两梯四户,有,70年,2018-04-03,普通住宅,满五年,
481,1100,93000,天河,中海璟晖华庭,118.28,2007,塔楼,北,3室2厅1厨2卫,中楼层/共32层,中楼层,共32层,精装,三梯四户,有,70年,2017-10-27,普通住宅,满五年,地铁
482,450,60811,白云,外语外贸学院,74,1995,板楼,南 北,3室2厅1厨1卫,低楼层/共5层,低楼层,共5层,其他,一梯五户,无,70年,2017-10-16,普通住宅,满五年,
483,255,27595,黄埔,龙光峰景华庭,92.41,,塔楼,西北,3室2厅1厨1卫,中楼层/共18层,中楼层,共18层,其他,两梯八户,有,70年,2018-03-03,普通住宅,满五年,
484,215,27278,黄埔,新世纪花苑,78.82,1995,塔楼,南,3室1厅1厨1卫,中楼层/共9层,中楼层,共9层,精装,一梯四户,无,70年,2017-09-08,普通住宅,满五年,地铁
485,540,58165,天河,骏景花园,92.84,2000,塔楼,南,3室2厅1厨2卫,低楼层/共13层,低楼层,共13层,简装,一梯六户,有,70年,2017-08-26,普通住宅,满五年,
486,415,35374,荔湾,珠岛花园,117.32,1995,塔楼,东 西,3室2厅1厨2卫,中楼层/共17层,中楼层,共17层,精装,两梯三户,有,70年,2018-03-03,普通住宅,满五年,
487,650,31554,黄埔,怡港花园,206,1999,塔楼,南,6室3厅1厨2卫,高楼层/共11层,高楼层,共11层,其他,两梯六户,有,70年,2017-04-30,普通住宅,满五年,地铁
488,265,30114,番禺,锦绣香江花园布查特国际公寓,88,2004,塔楼,东北,1室2厅1厨1卫,低楼层/共23层,低楼层,共23层,其他,三梯二十九户,有,70年,2017-08-09,普通住宅,满五年,
489,420,40777,天河,金燕花园,103,2004,塔楼,东,3室2厅1厨2卫,低楼层/共16层,低楼层,共16层,其他,两梯八户,有,70年,2017-12-15,普通住宅,满五年,地铁
490,370,34039,荔湾,珠岛花园,108.7,1999,塔楼,东,4室2厅1厨2卫,高楼层/共23层,高楼层,共23层,其他,两梯八户,有,70年,2017-06-05,普通住宅,满五年,
491,220,37672,荔湾,荔湾路小梅大街,58.4,,塔楼,东,2室1厅1厨2卫,高楼层/共9层,高楼层,共9层,其他,一梯十一户,无,70年,2017-11-17,普通住宅,满五年,地铁
492,150,31368,白云,擎山苑,47.82,2005,塔楼,西南,1室1厅1厨1卫,低楼层/共15层,低楼层,共15层,其他,两梯八户,有,70年,2017-12-20,普通住宅,满五年,地铁
493,610,47475,天河,华江花园,128.49,1999,塔楼,南,3室2厅1厨2卫,高楼层/共9层,高楼层,共9层,其他,一梯四户,有,70年,2017-08-07,普通住宅,满五年,
494,438,56810,天河,华天国际广场,77.1,2001,塔楼,西,2室1厅1厨1卫,中楼层/共30层,中楼层,共30层,其他,三梯十二户,有,70年,2017-04-26,普通住宅,满五年,地铁
495,680,56667,天河,金田花苑,120,1997,塔楼,北,3室2厅1厨2卫,中楼层/共19层,中楼层,共19层,简装,两梯六户,有,70年,2017-05-18,普通住宅,满五年,
496,248,30758,番禺,祈福新村蝶舞轩,80.63,2002,板楼,北,3室2厅1厨1卫,中楼层/共6层,中楼层,共6层,简装,一梯四户,无,70年,2018-04-03,普通住宅,满五年,
497,310,34832,天河,金燕花园,89,1999,塔楼,西南,3室2厅1厨1卫,中楼层/共9层,中楼层,共9层,其他,一梯六户,无,70年,2018-03-17,普通住宅,满五年,地铁
498,270,35475,黄埔,金隆园,76.11,1999,塔楼,西,3室1厅1厨1卫,低楼层/共18层,低楼层,共18层,简装,两梯八户,有,70年,2018-04-02,普通住宅,满五年,地铁
499,85,20788,海珠,石岗路,40.89,,塔楼,东南,2室1厅0厨1卫,高楼层/共8层,高楼层,共8层,其他,一梯三户,无,70年,2017-07-02,普通住宅,满五年,地铁
500,175,32408,天河,棠德花园,54,1997,塔楼,南,2室1厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯四户,无,70年,2018-03-31,普通住宅,满五年,
501,205,30598,番禺,祈福新村蝶舞轩,67,2002,板楼,北,2室2厅1厨1卫,中楼层/共6层,中楼层,共6层,简装,一梯四户,无,70年,2018-03-25,普通住宅,满五年,
502,370,31498,番禺,祈福新村倚云居,117.47,2004,塔楼,南,3室2厅1厨2卫,低楼层/共35层,低楼层,共35层,精装,三梯六户,有,70年,2018-03-30,普通住宅,满五年,
503,200,21506,增城,翡翠绿洲森林半岛,93,2011,塔楼,东 西,2室2厅1厨1卫,低楼层/共25层,低楼层,共25层,其他,三梯六户,有,70年,2018-03-28,普通住宅,满五年,
504,330,31133,番禺,祈福新村翠湖居,106,1995,板楼,北,3室2厅1厨2卫,高楼层/共6层,高楼层,共6层,精装,一梯四户,无,70年,2018-03-28,普通住宅,满五年,
505,650,58575,天河,华景新城芳满庭园,110.97,2005,塔楼,南,3室2厅1厨2卫,低楼层/共36层,低楼层,共36层,精装,三梯九户,有,70年,2018-03-24,普通住宅,满五年,
506,295,38507,荔湾,荔港南湾,76.61,1999,塔楼,西,2室2厅1厨1卫,中楼层/共25层,中楼层,共25层,其他,两梯八户,有,70年,2018-03-18,普通住宅,满五年,地铁
507,298,42572,海珠,金碧花园第一金碧,70,2000,塔楼,西,2室2厅1厨1卫,高楼层/共22层,高楼层,共22层,其他,两梯五户,有,70年,2018-03-23,普通住宅,满五年,地铁
508,298,22017,花都,保利城花园保利城五街,135.35,,板楼,东南,3室2厅1厨2卫,中楼层/共12层,中楼层,共12层,其他,一梯两户,暂无数据,70年,2018-03-31,普通住宅,满五年,
509,265,26238,增城,碧桂园凤凰城凤馨苑,101,2002,塔楼,南,3室2厅1厨1卫,中楼层/共18层,中楼层,共18层,其他,两梯四户,有,70年,2018-03-21,普通住宅,满五年,
510,320,38155,越秀,下塘西路,83.87,,塔楼,南,3室1厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯四户,无,70年,2018-03-25,普通住宅,满五年,地铁
511,280,19859,番禺,大发大厦,141,1999,塔楼,南,5室2厅1厨3卫,中楼层/共9层,中楼层,共9层,精装,一梯两户,无,70年,2018-04-03,普通住宅,满五年,
512,335,44560,海珠,保利百合花园二期,75.18,2004,塔楼,东,2室2厅1厨1卫,低楼层/共15层,低楼层,共15层,其他,两梯八户,有,70年,2018-03-19,普通住宅,满五年,地铁
513,400,46512,天河,华景新城怡翠居,86,1996,塔楼,西北,3室1厅1厨1卫,中楼层/共9层,中楼层,共9层,其他,一梯四户,无,70年,2018-03-16,普通住宅,满五年,
514,248,29524,黄埔,龙光峰景华庭,84,2009,塔楼,北,3室2厅1厨1卫,低楼层/共18层,低楼层,共18层,其他,两梯六户,有,70年,2017-12-19,普通住宅,满五年,
515,320,35731,白云,富力半岛花园,89.56,2003,塔楼,西北,3室2厅1厨1卫,高楼层/共27层,高楼层,共27层,其他,两梯八户,有,70年,2017-11-10,普通住宅,满五年,
516,368,38498,黄埔,金逸雅居,95.59,2006,塔楼,西北,3室2厅1厨1卫,中楼层/共11层,中楼层,共11层,其他,两梯六户,有,70年,2017-09-04,普通住宅,满五年,地铁
517,330,33902,黄埔,保利林语山庄6区,97.34,,塔楼,东北,3室2厅1厨1卫,高楼层/共28层,高楼层,共28层,简装,两梯四户,有,70年,2017-11-19,普通住宅,满五年,地铁
518,550,44355,海珠,富基广场,124,2005,塔楼,北,3室1厅1厨2卫,低楼层/共34层,低楼层,共34层,其他,三梯八户,有,70年,2017-03-17,普通住宅,满五年,地铁
519,248,30591,天河,富力新村,81.07,1994,塔楼,南,3室2厅1厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯四户,无,70年,2018-01-31,普通住宅,满五年,
520,545,46802,海珠,金碧花园第三金碧,116.45,2000,塔楼,南,3室2厅1厨2卫,高楼层/共32层,高楼层,共32层,精装,两梯七户,有,70年,2018-03-02,普通住宅,满五年,
521,620,57723,白云,白云高尔夫花园西区,107.41,1999,塔楼,东南,3室2厅1厨2卫,高楼层/共11层,高楼层,共11层,精装,一梯六户,有,70年,2018-03-27,普通住宅,满五年,
522,300,32641,白云,广州富力城,91.91,2007,塔楼,东,3室2厅1厨1卫,中楼层/共17层,中楼层,共17层,其他,两梯六户,有,70年,2018-03-15,普通住宅,满五年,
523,305,28774,番禺,祈福新村活力花园,106,2005,塔楼,北,3室2厅1厨1卫,高楼层/共20层,高楼层,共20层,简装,两梯四户,有,70年,2017-10-13,普通住宅,满五年,
524,978,60000,天河,丰兴广场,163,1997,塔楼,南 北,4室1厅1厨1卫,中楼层/共32层,中楼层,共32层,其他,一梯五户,暂无数据,70年,2018-03-24,普通住宅,满五年,地铁
