number,出售价,挂牌价,单价,行政区,小区,建筑面积,建筑类型,建成时间,朝向,户型2,楼层,所在楼层,总楼层,装修,梯户比,电梯,产权年限,成交时间,房屋用途,房屋年限,地铁,税收
755,269,278,34303,白云,盈翠华庭,78.42,塔楼,2001,东,2室2厅1厨1卫,中楼层 (共7层),中楼层,7,精装,一梯五户,无,70年,2018-01-14,普通住宅,暂无数据,,
756,168,168,27487,海珠,荔福路西基东,61.12,塔楼,未知,北,2室1厅1厨1卫,高楼层 (共8层),高楼层,8,其他,一梯四户,无,70年,2018-01-14,普通住宅,暂无数据,地铁,
757,283,288,17860,增城,碧桂园凤凰城凤仪苑,158.46,塔楼,2002,北,5室2厅1厨2卫,高楼层 (共6层),高楼层,6,精装,一梯四户,无,70年,2018-01-17,普通住宅,满两年,,
758,125,128,26596,荔湾,如意阁,47,塔楼,2001,东南,2室1厅1厨1卫,中楼层 (共8层),中楼层,8,简装,一梯六户,无,70年,2018-01-15,普通住宅,暂无数据,,
759,72,72,26846,海珠,前进路聚龙新街,26.82,塔楼,未知,南,1室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯五户,无,70年,2018-01-15,普通住宅,暂无数据,地铁,
760,153,155,40264,天河,远洋明苑,38,塔楼,2003,北,1室1厅1厨1卫,高楼层 (共12层),高楼层,12,简装,一梯六户,有,70年,2018-01-14,普通住宅,暂无数据,,
761,950,1000,59007,海珠,丽景湾,161,塔楼,2002,北,4室2厅1厨3卫,中楼层 (共33层),中楼层,33,简装,三梯五户,有,70年,2018-01-15,普通住宅,满五年,,房屋满五年
762,164.3,165,29873,海珠,聚德花园,55,塔楼,1997,北,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯四户,无,70年,2018-01-15,普通住宅,暂无数据,地铁,
763,158.8,156,36948,越秀,百灵路,42.98,板楼,未知,南,3室1厅1厨1卫,高楼层 (共6层),高楼层,6,其他,一梯三户,暂无数据,70年,2018-01-15,普通住宅,暂无数据,地铁,
764,137,140,20267,番禺,石基城市花园,67.6,板楼,2001,东 西,2室2厅1厨1卫,中楼层 (共5层),中楼层,5,其他,一梯两户,无,70年,2018-01-15,普通住宅,暂无数据,,
765,148,150,24544,白云,城西花园,60.3,塔楼,1999,西北,2室2厅1厨1卫,高楼层 (共6层),高楼层,6,简装,一梯四户,无,70年,2018-01-15,普通住宅,暂无数据,地铁,
766,105,105,16841,白云,汇雅花园,62.35,塔楼,1996,东南,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯四户,无,70年,2018-01-15,普通住宅,暂无数据,,
767,108,110,28052,荔湾,耀华社区存善东横街,38.5,塔楼,2001,西,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-01-15,普通住宅,暂无数据,地铁,
768,62,63,17367,天河,濂泉路沙东大街,35.7,塔楼,未知,西南,1室1厅1厨1卫,高楼层 (共6层),高楼层,6,毛坯,一梯四户,暂无数据,70年,2018-01-15,普通住宅,暂无数据,地铁,
769,112,115,26610,白云,景泰新村景泰东四巷,42.09,塔楼,1990,南 北,1室1厅1厨1卫,中楼层 (共8层),中楼层,8,其他,一梯两户,无,70年,2018-01-15,普通住宅,暂无数据,,
770,165,168,22033,白云,汇侨新城东区,74.89,塔楼,2000,东北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-01-15,普通住宅,暂无数据,,
771,475,475,58642,荔湾,万科金色荔苑,81,塔楼,2006,南 北,3室1厅1厨1卫,低楼层 (共32层),低楼层,32,其他,两梯三户,有,70年,2018-01-15,普通住宅,暂无数据,地铁,
772,161.5,164,26214,白云,机安宿舍,61.61,塔楼,1995,西,2室1厅1厨1卫,高楼层 (共16层),高楼层,16,其他,两梯八户,有,70年,2018-01-15,普通住宅,暂无数据,,
773,126,130,29303,白云,康盈阁,43,塔楼,1995,南,1室1厅1厨1卫,中楼层 (共11层),中楼层,11,简装,两梯九户,有,70年,2018-01-15,普通住宅,暂无数据,地铁,
774,225,230,37950,海珠,侨雅苑,59.29,塔楼,1998,南 北,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯三户,无,70年,2018-01-15,普通住宅,暂无数据,地铁,
775,645,660,53536,天河,润华大厦,120.48,塔楼,2000,南,3室2厅1厨2卫,中楼层 (共26层),中楼层,26,简装,两梯六户,有,70年,2018-01-15,普通住宅,暂无数据,,
776,215,215,22632,荔湾,荔湾广场,95,塔楼,2000,西北,2室1厅1厨1卫,低楼层 (共30层),低楼层,30,其他,三梯八户,有,70年,2018-01-15,普通住宅,暂无数据,地铁,
777,320,330,44550,越秀,五羊商住中心,71.83,塔楼,2000,南 北,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯四户,无,70年,2018-01-15,普通住宅,暂无数据,地铁,
778,209.5,215,25382,白云,广州富力城,82.54,塔楼,2005,东北,2室2厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯六户,有,70年,2018-01-15,普通住宅,满两年,,
779,275,290,56772,海珠,光大花园水岸榕城,48.44,塔楼,2006,东南,1室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯七户,有,70年,2018-01-15,普通住宅,暂无数据,地铁,
780,300,310,35266,黄埔,悦时代花园心悦湾,85.07,塔楼,2013,南,2室1厅1厨1卫,中楼层 (共33层),中楼层,33,其他,两梯五户,有,70年,2018-01-16,普通住宅,暂无数据,地铁,
781,78,78,26990,白云,广园云苑新村,28.9,塔楼,1999,南,1室1厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯六户,无,70年,2018-01-16,普通住宅,暂无数据,,
782,59,60,23600,荔湾,珠岛花园,25,塔楼,1995,南,1室0厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯七户,无,70年,2018-01-17,普通住宅,暂无数据,,
783,152,155,27637,海珠,凤凰新村二街,55,塔楼,2000,南,2室1厅1厨1卫,高楼层 (共7层),高楼层,7,其他,一梯三户,无,70年,2018-01-17,普通住宅,暂无数据,地铁,
784,253,258,29453,番禺,祈福新村晓峰园,85.9,塔楼,2005,南,2室2厅1厨1卫,中楼层 (共35层),中楼层,35,其他,三梯八户,有,70年,2018-01-18,普通住宅,暂无数据,,
785,195,196,27858,海珠,江南大道南水厂宿舍,70,塔楼,1990,南 北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,无,70年,2018-01-18,普通住宅,暂无数据,地铁,
786,50,50,25734,越秀,惠福西路走木街,19.43,塔楼,未知,南,1室1厅1厨1卫,中楼层 (共8层),中楼层,8,其他,一梯四户,无,70年,2018-01-18,普通住宅,暂无数据,地铁,
787,150,150,24221,海珠,凤阳小区凤阳街,61.93,塔楼,2000,东 西,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,无,70年,2018-01-18,普通住宅,暂无数据,地铁,
788,96,100,11511,番禺,大北路,83.4,板楼,未知,南,2室1厅1厨1卫,高楼层 (共10层),高楼层,10,其他,一梯一户,无,70年,2018-01-18,普通住宅,暂无数据,地铁,
789,58.5,60,21368,白云,景泰新村景泰西三巷,27.35,塔楼,2008,南 北,1室1厅1厨1卫,高楼层 (共8层),高楼层,8,其他,一梯五户,无,70年,2018-01-18,普通住宅,暂无数据,,
790,390,420,29771,白云,汇侨新城南区,131,塔楼,2000,东南,3室2厅1厨2卫,高楼层 (共17层),高楼层,17,简装,两梯八户,有,70年,2018-01-18,普通住宅,暂无数据,,
791,248,250,30846,番禺,华南碧桂园漾翠苑,80.4,塔楼,2001,东,2室2厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯四户,无,70年,2018-01-18,普通住宅,暂无数据,,
792,76,80,16576,白云,京华雅居,45.85,塔楼,1999,南,1室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯五户,无,70年,2018-01-18,普通住宅,暂无数据,,
793,230,235,29488,白云,燕塘工业园小区,78,塔楼,1990,南,3室1厅1厨1卫,中楼层 (共9层),中楼层,9,精装,一梯四户,有,70年,2018-01-18,普通住宅,暂无数据,,
794,287,290,27334,番禺,祈福新村青怡居,105,板楼,1995,南,3室2厅1厨2卫,高楼层 (共5层),高楼层,5,其他,一梯四户,无,70年,2018-01-18,普通住宅,暂无数据,,
795,400,410,51060,天河,骏景花园,78.34,塔楼,2000,南,3室1厅1厨1卫,中楼层 (共13层),中楼层,13,精装,一梯五户,有,70年,2018-01-18,普通住宅,暂无数据,,
796,306,310,31350,白云,万科云山花园,97.61,塔楼,2008,东南,3室1厅1厨1卫,低楼层 (共18层),低楼层,18,其他,两梯四户,有,70年,2018-01-18,普通住宅,暂无数据,,
797,400.8,420,50100,海珠,翠城花园,80,塔楼,2009,南,2室1厅1厨1卫,高楼层 (共32层),高楼层,32,其他,三梯八户,有,70年,2018-01-18,普通住宅,暂无数据,地铁,
798,245,260,51798,越秀,小北路朱紫寮后街,47.3,塔楼,未知,南,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯七户,暂无数据,70年,2018-01-19,普通住宅,满两年,,
799,347,355,34700,番禺,广州雅居乐花园一尺山居,100,塔楼,2010,西南,3室2厅1厨1卫,中楼层 (共23层),中楼层,23,其他,两梯八户,有,70年,2018-01-19,普通住宅,暂无数据,,
800,223.8,230,31745,荔湾,保利塞纳维拉,70.5,塔楼,2015,北,2室2厅1厨1卫,高楼层 (共18层),高楼层,18,其他,两梯五户,有,70年,2018-01-19,普通住宅,暂无数据,,
801,268,280,26020,白云,汇侨新城南区,103,塔楼,2000,西南,3室2厅1厨2卫,中楼层 (共16层),中楼层,16,其他,两梯十户,有,70年,2018-01-18,普通住宅,暂无数据,,
802,117,120,29726,海珠,新港西路,39.36,塔楼,未知,南 北,2室1厅0厨2卫,低楼层 (共8层),低楼层,8,其他,一梯三户,无,70年,2018-01-19,普通住宅,暂无数据,地铁,
803,79,80,21945,黄埔,石化生活区,36,塔楼,1976,南,1室1厅1厨1卫,高楼层 (共6层),高楼层,6,其他,一梯四户,无,70年,2018-01-19,普通住宅,暂无数据,地铁,
804,145,148,27088,白云,广园云苑新村,53.53,塔楼,1999,南,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯六户,无,70年,2018-01-19,普通住宅,暂无数据,,
805,112,120,17522,白云,晓景苑,63.92,塔楼,1998,西,2室2厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯四户,无,70年,2018-01-19,普通住宅,暂无数据,,
806,172.5,175,42911,海珠,翠馨华庭,40.2,塔楼,2003,西南,2室1厅1厨1卫,中楼层 (共24层),中楼层,24,其他,三梯二十六户,有,70年,2018-01-19,普通住宅,暂无数据,,
807,185.5,190,23044,番禺,德兴园,80.5,塔楼,1998,南,2室2厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯两户,无,70年,2018-01-19,普通住宅,暂无数据,地铁,
808,335,350,36935,番禺,广州星河湾悦心园,90.7,塔楼,2001,南,2室1厅1厨1卫,低楼层 (共18层),低楼层,18,简装,两梯四户,有,70年,2018-01-19,普通住宅,暂无数据,,
809,245,250,27253,番禺,君华香柏广场华府,89.9,塔楼,未知,南 北,3室2厅1厨1卫,高楼层 (共32层),高楼层,32,其他,两梯四户,有,70年,2018-01-19,普通住宅,暂无数据,,
810,145.5,155,25087,白云,汇侨新城南区,58,塔楼,2000,南 北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯两户,无,70年,2018-01-19,普通住宅,满两年,,
811,149,150,20695,越秀,明泉花园,72,塔楼,2000,南,3室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,暂无数据,70年,2018-01-19,普通住宅,暂无数据,,
812,440,450,42324,天河,电信宿舍,103.96,塔楼,1997,东 西,3室2厅1厨1卫,低楼层 (共9层),低楼层,9,精装,一梯三户,暂无数据,70年,2018-01-19,普通住宅,暂无数据,地铁,
813,155,155,25972,海珠,晓港中马路,59.68,板楼,未知,南,2室1厅1厨1卫,高楼层 (共8层),高楼层,8,其他,一梯两户,暂无数据,70年,2018-01-20,普通住宅,满五年,地铁,房屋满五年
814,270,280,36453,天河,中海康城,74.07,塔楼,2002,北,2室2厅1厨1卫,低楼层 (共12层),低楼层,12,其他,一梯四户,有,70年,2018-01-20,普通住宅,暂无数据,地铁,
815,738,742,59661,海珠,丽景湾,123.7,塔楼,2002,北,4室2厅1厨2卫,低楼层 (共32层),低楼层,32,精装,三梯六户,有,70年,2018-01-19,普通住宅,暂无数据,,
816,175,200,27778,越秀,科技馆大院,63,塔楼,1993,南,2室1厅0厨1卫,低楼层 (共9层),低楼层,9,其他,一梯六户,暂无数据,70年,2018-01-20,普通住宅,暂无数据,,
817,165,165,47496,海珠,英豪花园馨润尚寓,34.74,塔楼,2005,西南,1室1厅1厨1卫,低楼层 (共32层),低楼层,32,其他,三梯十二户,有,70年,2018-01-20,普通住宅,暂无数据,地铁,
818,96,100,27429,海珠,赤岗路1号大院,35,塔楼,1996,南,1室1厅1厨1卫,中楼层 (共5层),中楼层,5,其他,一梯十户,无,70年,2018-01-20,普通住宅,暂无数据,地铁,
819,330,330,45834,海珠,英豪花园阳光320,72,塔楼,2005,东北,2室1厅0厨1卫,低楼层 (共24层),低楼层,24,精装,三梯十二户,有,70年,2018-01-20,普通住宅,暂无数据,地铁,
820,65,65.1,14984,花都,宝铼雅居,43.38,塔楼,2013,东,1室0厅1厨1卫,高楼层 (共14层),高楼层,14,其他,一梯二十三户,暂无数据,70年,2018-01-20,普通住宅,暂无数据,,
821,123,123,14784,番禺,西丽大厦,83.2,塔楼,1999,南,3室2厅1厨1卫,高楼层 (共8层),高楼层,8,其他,一梯两户,无,70年,2018-01-20,普通住宅,暂无数据,,
822,245,250,27344,天河,侨乐新村,89.6,塔楼,1995,东北,3室2厅1厨2卫,中楼层 (共9层),中楼层,9,简装,一梯两户,无,70年,2018-01-20,普通住宅,暂无数据,地铁,
823,290,290,22138,增城,碧桂园凤凰城凤岭苑,131,塔楼,2002,东南,3室2厅1厨2卫,中楼层 (共11层),中楼层,11,其他,一梯四户,有,70年,2018-01-20,普通住宅,满五年,,房屋满五年
824,156,160,23284,番禺,华侨城,67,塔楼,1999,南,2室1厅1厨1卫,低楼层 (共12层),低楼层,12,其他,一梯十二户,有,70年,2018-01-20,普通住宅,暂无数据,,
825,84,86,20896,荔湾,鹤洞路,40.2,塔楼,未知,东南,1室1厅1厨1卫,中楼层 (共8层),中楼层,8,简装,一梯两户,无,70年,2018-01-20,普通住宅,暂无数据,地铁,
826,218,225,25953,番禺,亚运城媒体北村,84,塔楼,未知,南,2室2厅1厨1卫,中楼层 (共18层),中楼层,18,其他,一梯四户,暂无数据,70年,2018-01-20,普通住宅,暂无数据,地铁,
827,183.4,178,24739,番禺,锦绣生态园春满园,74.11,塔楼,2003,南,2室2厅1厨1卫,高楼层 (共6层),高楼层,6,其他,一梯四户,无,70年,2018-01-20,普通住宅,暂无数据,,
828,175,175,26924,越秀,瑶台公安宿舍,65,塔楼,1994,北,2室1厅1厨1卫,低楼层 (共7层),低楼层,7,其他,一梯两户,无,70年,2018-01-20,普通住宅,暂无数据,地铁,
829,418,420,51605,天河,骏景花园,81,塔楼,未知,南,3室2厅1厨1卫,中楼层 (共12层),中楼层,12,简装,一梯六户,有,70年,2018-01-20,普通住宅,满五年,,房屋满五年
830,203,205,20864,番禺,庄士映蝶蓝湾二期,97.3,塔楼,未知,南,3室2厅1厨2卫,低楼层 (共18层),低楼层,18,其他,两梯四户,有,70年,2018-01-20,普通住宅,暂无数据,,
831,233,235,27412,天河,药检宿舍,85,塔楼,1997,南,3室2厅1厨2卫,中楼层 (共8层),中楼层,8,其他,一梯两户,暂无数据,70年,2018-01-20,普通住宅,暂无数据,,
832,238,217,25592,番禺,亚运城媒体北村,93,塔楼,未知,南,3室2厅1厨1卫,低楼层 (共22层),低楼层,22,其他,一梯四户,暂无数据,70年,2018-01-20,普通住宅,暂无数据,地铁,
833,265,290,34587,荔湾,荔港南湾,76.62,塔楼,2008,北,3室1厅1厨1卫,高楼层 (共32层),高楼层,32,精装,两梯七户,有,70年,2018-01-20,普通住宅,暂无数据,地铁,
834,173,175,20334,增城,翡翠绿洲森林半岛,85.08,塔楼,2011,西,2室2厅1厨1卫,高楼层 (共15层),高楼层,15,精装,一梯六户,有,70年,2018-01-20,普通住宅,满五年,,房屋满五年
835,242.5,248,45755,海珠,罗马家园,53,塔楼,2007,南,1室1厅1厨1卫,高楼层 (共18层),高楼层,18,其他,两梯三户,有,70年,2018-01-20,普通住宅,暂无数据,地铁,
836,152.8,156,22899,海珠,泰沙路,66.73,塔楼,未知,南 北,2室1厅1厨1卫,高楼层 (共8层),高楼层,8,简装,一梯四户,无,70年,2018-01-20,普通住宅,满五年,地铁,房屋满五年
837,243.8,248,26587,番禺,亚运城媒体南村,91.7,塔楼,未知,南,2室2厅1厨1卫,中楼层 (共22层),中楼层,22,其他,一梯四户,暂无数据,70年,2018-01-20,普通住宅,暂无数据,,
838,185,200,43829,越秀,环市东路,42.21,塔楼,未知,东,1室1厅1厨1卫,高楼层 (共8层),高楼层,8,其他,一梯三户,无,70年,2018-01-20,普通住宅,暂无数据,地铁,
839,190,197,22810,番禺,东方白云花园,83.3,塔楼,2002,南,2室2厅1厨1卫,中楼层 (共11层),中楼层,11,简装,一梯四户,有,70年,2018-01-20,普通住宅,暂无数据,,
840,313.8,330,31897,荔湾,文辰阁,98.38,塔楼,2004,南 北,3室1厅1厨1卫,中楼层 (共11层),中楼层,11,精装,一梯六户,有,70年,2018-01-20,普通住宅,暂无数据,地铁,
841,133,150,27709,海珠,滨江东路新凤凰后街,48,塔楼,未知,南 北,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯四户,无,70年,2018-01-20,普通住宅,暂无数据,,
842,310,323,22736,增城,翡翠绿洲湖滨苑,136.35,塔楼,2011,北,3室2厅1厨2卫,高楼层 (共21层),高楼层,21,其他,两梯四户,有,70年,2018-01-20,普通住宅,暂无数据,,
843,358,375,59518,天河,珠光新城国际中心,60.15,塔楼,未知,西北,1室2厅0厨1卫,低楼层 (共30层),低楼层,30,其他,两梯十四户,有,70年,2018-01-21,普通住宅,暂无数据,地铁,
844,318,318,57819,越秀,东风东路水均大街,55,塔楼,未知,东,3室2厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯八户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
845,178.5,182,22092,番禺,庄士映蝶蓝湾二期,80.8,塔楼,未知,北,3室2厅1厨1卫,中楼层 (共18层),中楼层,18,其他,一梯六户,暂无数据,70年,2018-01-21,普通住宅,暂无数据,,
846,280,288,40000,海珠,金碧花园第一金碧,70,塔楼,2000,东,2室1厅1厨1卫,低楼层 (共22层),低楼层,22,简装,两梯六户,有,70年,2018-01-21,普通住宅,暂无数据,地铁,
847,245,245,34028,天河,金燕花园,72,塔楼,1995,南,2室2厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
848,201.6,209,36655,海珠,江南西路紫龙大街,55,塔楼,未知,南 北,2室1厅1厨1卫,中楼层 (共8层),中楼层,8,其他,一梯两户,无,70年,2018-01-20,普通住宅,暂无数据,地铁,
849,200,216.9,32279,荔湾,鹤景楼,61.96,塔楼,1998,南,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯四户,无,70年,2018-01-20,普通住宅,暂无数据,地铁,
850,178,188,42381,越秀,小北路大石街,42,塔楼,1993,东,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯六户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
851,248,253,12526,番禺,裕林苑,198,塔楼,未知,南,4室2厅1厨4卫,高楼层 (共7层),高楼层,7,其他,一梯两户,暂无数据,70年,2018-01-20,普通住宅,暂无数据,地铁,
852,166,180,21356,黄埔,新世纪花苑,77.73,塔楼,1995,南 北,3室2厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,无,70年,2018-01-20,普通住宅,暂无数据,地铁,
853,254,178,32565,海珠,顺华名庭,78,塔楼,2001,东,2室1厅1厨1卫,中楼层 (共20层),中楼层,20,简装,两梯八户,有,70年,2018-01-20,普通住宅,暂无数据,地铁,
854,200,200,30212,番禺,祈福新村湖景居,66.2,板楼,1995,南,2室2厅1厨1卫,低楼层 (共4层),低楼层,4,其他,一梯一户,无,70年,2018-01-21,普通住宅,暂无数据,,
855,170,173,22789,番禺,美心翠拥华庭一期,74.6,板楼,2004,南,2室2厅1厨1卫,高楼层 (共6层),高楼层,6,其他,一梯两户,无,70年,2018-01-21,普通住宅,暂无数据,,
856,115.4,116,22803,海珠,滨江东路远安街,50.6,塔楼,未知,北,2室1厅1厨1卫,高楼层 (共6层),高楼层,6,其他,一梯六户,无,70年,2018-01-21,普通住宅,暂无数据,,
857,170,175,23944,白云,汇侨新城东区,71,塔楼,2000,东,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,简装,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,,
858,378,385,37426,番禺,广州雅居乐花园浅山小筑,101,塔楼,2010,南,3室2厅1厨2卫,中楼层 (共17层),中楼层,17,简装,一梯四户,有,70年,2018-01-21,普通住宅,暂无数据,,
859,243,245,30187,番禺,广州碧桂园康苑,80.5,塔楼,1998,东北,2室1厅1厨1卫,高楼层 (共6层),高楼层,6,其他,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,,
860,124,126,19375,番禺,美心花园,64,塔楼,1999,西,3室2厅1厨1卫,中楼层 (共7层),中楼层,7,简装,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,,
861,256,260,28003,黄埔,龙光峰景华庭,91.42,塔楼,2009,东南,3室2厅1厨1卫,高楼层 (共18层),高楼层,18,精装,两梯七户,有,70年,2018-01-21,普通住宅,满五年,,房屋满五年
862,98,105,17044,白云,阳光花园,57.5,塔楼,1997,北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯五户,无,70年,2018-01-21,普通住宅,暂无数据,,
863,244.5,250,28104,白云,广州富力城,87,塔楼,2008,南,3室1厅1厨1卫,低楼层 (共17层),低楼层,17,其他,两梯六户,有,70年,2018-01-21,普通住宅,暂无数据,,
864,338,338,50981,越秀,华侨新村原道路,66.3,板楼,未知,南 北,3室1厅1厨1卫,中楼层 (共6层),中楼层,6,其他,一梯两户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
865,315,320,33871,番禺,金山谷四期,93,塔楼,2013,北,4室2厅1厨1卫,高楼层 (共29层),高楼层,29,其他,三梯六户,有,70年,2018-01-21,普通住宅,暂无数据,,
866,389,398,54789,海珠,嘉仕花园东区,71,塔楼,2004,北,2室2厅1厨1卫,中楼层 (共33层),中楼层,33,精装,三梯七户,有,70年,2018-01-21,普通住宅,暂无数据,,
867,190,190,21966,番禺,朗陶居,86.5,塔楼,2001,北,3室2厅1厨1卫,高楼层 (共7层),高楼层,7,其他,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,,
868,539,560,66717,天河,天惠大厦,80.79,塔楼,2008,南,2室2厅1厨1卫,高楼层 (共27层),高楼层,27,精装,四梯十四户,有,70年,2018-01-21,普通住宅,满五年,地铁,房屋满五年
869,152.3,155,25554,海珠,晓港东二马路,59.6,塔楼,未知,南,2室1厅1厨1卫,高楼层 (共8层),高楼层,8,其他,一梯三户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
870,52,53.6,18440,白云,桂花路,28.2,塔楼,未知,南 北,1室1厅1厨1卫,低楼层 (共9层),低楼层,9,简装,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
871,294.5,302,37017,天河,盈彩美居,79.56,塔楼,2003,西南,2室2厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯六户,有,70年,2018-01-21,普通住宅,暂无数据,,
872,225,229,29739,黄埔,万科新里程,75.66,塔楼,2009,北,2室2厅1厨1卫,中楼层 (共25层),中楼层,25,其他,两梯六户,有,70年,2018-01-21,普通住宅,满五年,地铁,房屋满五年
873,297,300,36667,天河,羊城花园,81,塔楼,2003,北,3室2厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯六户,有,70年,2018-01-21,普通住宅,暂无数据,,
874,396,420,59105,天河,林和苑,67,塔楼,1999,东南,2室2厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯四户,暂无数据,70年,2018-01-21,普通住宅,暂无数据,地铁,
875,174,176,31839,荔湾,怡芳苑,54.65,塔楼,1998,北,2室2厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯三户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
876,203.9,205,25043,番禺,锦绣生态园趣园,81.42,塔楼,2005,北,3室2厅1厨1卫,高楼层 (共6层),高楼层,6,简装,一梯四户,无,70年,2018-01-21,普通住宅,满五年,,房屋满五年
877,275,280,33026,白云,富力桃园,83.27,塔楼,2004,东北,2室2厅1厨1卫,中楼层 (共30层),中楼层,30,精装,三梯八户,有,70年,2018-01-21,普通住宅,满五年,,房屋满五年
878,264,268,39593,白云,时代花园,66.68,塔楼,1999,南,2室2厅1厨2卫,中楼层 (共15层),中楼层,15,其他,两梯八户,有,70年,2018-01-21,普通住宅,暂无数据,,
879,180,188,19439,番禺,江南新村,92.6,塔楼,1998,南,3室2厅1厨1卫,中楼层 (共8层),中楼层,8,其他,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
880,204.5,205,22963,番禺,锦绣生态园乐满园,89.06,塔楼,2003,北,3室2厅1厨2卫,低楼层 (共6层),低楼层,6,其他,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,,
881,142,155,25358,海珠,南海水产研究所宿舍区,56,板楼,1985,北,2室1厅1厨1卫,中楼层 (共6层),中楼层,6,其他,一梯三户,无,70年,2018-01-22,普通住宅,暂无数据,地铁,
882,239,248,23900,番禺,北城白云花园,100,板楼,2002,南 北,3室2厅1厨2卫,中楼层 (共6层),中楼层,6,其他,一梯六户,无,70年,2018-01-22,普通住宅,暂无数据,地铁,
883,425,430,44587,白云,岭南新世界锦云峰,95.32,塔楼,2013,南,3室2厅1厨2卫,高楼层 (共30层),高楼层,30,其他,三梯八户,有,70年,2018-01-21,普通住宅,暂无数据,,
884,290,296,34823,白云,富力桃园,83.28,塔楼,2004,南 北,2室1厅1厨1卫,低楼层 (共29层),低楼层,29,其他,三梯四户,有,70年,2018-01-21,普通住宅,满五年,,房屋满五年
885,378,386,44077,天河,美林湖畔花园誉府,85.76,塔楼,2013,南 北,3室2厅1厨1卫,高楼层 (共10层),高楼层,10,其他,两梯五户,有,70年,2018-01-21,普通住宅,暂无数据,,
886,185,188,23718,番禺,水韵蓝湾南区,78,塔楼,2010,南,2室2厅1厨1卫,中楼层 (共17层),中楼层,17,其他,两梯六户,有,70年,2018-01-21,普通住宅,暂无数据,,
887,318,320,42075,海珠,英豪花园馨润尚寓,75.58,塔楼,2005,西,2室2厅1厨1卫,高楼层 (共32层),高楼层,32,其他,三梯十二户,有,70年,2018-01-21,普通住宅,暂无数据,地铁,
888,525,550,65625,天河,隽园,80,塔楼,2007,西北,3室2厅1厨1卫,高楼层 (共31层),高楼层,31,简装,三梯六户,有,70年,2018-01-21,普通住宅,满五年,,房屋满五年
889,312,320,26733,越秀,天成路,116.71,塔楼,未知,西南,3室1厅1厨2卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-01-21,普通住宅,暂无数据,地铁,
890,207,238,19694,番禺,康城水郡,105.11,板楼,2006,南,3室2厅1厨2卫,中楼层 (共6层),中楼层,6,其他,一梯两户,无,70年,2018-01-21,普通住宅,暂无数据,,
